Species	001-00-54-1A_CP05063_L001_taxonomic	001-00-54-2A_CP05063_L001_taxonomic	001-0001-1_CP05063_L001_taxonomic	001-0002-1_CP05063_L001_taxonomic	001-0003-1_CP05063_L001_taxonomic	001-0006-1_CP05063_L001_taxonomic	001-0007-1_CP05063_L001_taxonomic	001-0009-1_CP05063_L001_taxonomic	001-0010-1_CP05063_L001_taxonomic	001-0012-1_CP05063_L001_taxonomic	001-0013-1_CP05063_L001_taxonomic	001-0014-1_CP05063_L001_taxonomic	001-0015-1_CP05063_L001_taxonomic	001-0016-1_CP05063_L001_taxonomic	001-0017-1_CP05063_L001_taxonomic	001-0018-1A_CP05063_L001_taxonomic	001-0018-2A_CP05063_L001_taxonomic	001-0018-3A_CP05063_L001_taxonomic	001-0019-1A_CP05063_L001_taxonomic	001-0019-2A_CP05063_L001_taxonomic	001-0019-3A_CP05063_L001_taxonomic	001-0020-1A_CP05063_L001_taxonomic	001-0020-2A_CP05063_L001_taxonomic	001-0020-3A_CP05063_L001_taxonomic	001-0021-1A_CP05063_L001_taxonomic	001-0021-2A_CP05063_L001_taxonomic	001-0021-3A_CP05063_L001_taxonomic	001-0025-1A_CP05063_L001_taxonomic	001-0025-2A_CP05063_L001_taxonomic	001-0025-3A_CP05063_L001_taxonomic	001-0026-1A_CP05063_L001_taxonomic	001-0026-2A_CP05063_L001_taxonomic	001-0026-3A_CP05063_L001_taxonomic	001-0027-1A_CP05063_L001_taxonomic	001-0027-2A_CP05063_L001_taxonomic	001-0027-3A_CP05063_L001_taxonomic	001-0030-1A_CP05063_L001_taxonomic	001-0031-1A_CP05063_L001_taxonomic	001-0031-2A_CP05063_L001_taxonomic	001-0031-3A_CP05063_L001_taxonomic	001-0032-1A_CP05063_L001_taxonomic	001-0032-2A_CP05063_L001_taxonomic	001-0032-3A_CP05063_L001_taxonomic	001-0033-1A_CP05063_L001_taxonomic	001-0033-2A_CP05063_L001_taxonomic	001-0033-3A_CP05063_L001_taxonomic	001-0034-1A_CP05063_L001_taxonomic	001-0034-2A_CP05063_L001_taxonomic	001-0034-3A_CP05063_L001_taxonomic	001-0035-1A_CP05063_L001_taxonomic	001-0035-2A_CP05063_L001_taxonomic	001-0035-3A_CP05063_L001_taxonomic	001-0036-1A_CP05063_L001_taxonomic	001-0037-1A_CP05063_L001_taxonomic	001-0040-1A_CP05063_L001_taxonomic	001-0040-2A_CP05063_L001_taxonomic	001-0040-3A_CP05063_L001_taxonomic	001-0041-1A_CP05063_L001_taxonomic	001-0041-2A_CP05063_L001_taxonomic	001-0041-3A_CP05063_L001_taxonomic	001-0042-1A_CP05063_L001_taxonomic	001-0042-2A_CP05063_L001_taxonomic	001-0042-3A_CP05063_L001_taxonomic	001-0043-1A_CP05063_L001_taxonomic	001-0043-2A_CP05063_L001_taxonomic	001-0043-3A_CP05063_L001_taxonomic	001-0044-1A_CP05063_L001_taxonomic	001-0044-2A_CP05063_L001_taxonomic	001-0044-3A_CP05063_L001_taxonomic	001-0045-1A_CP05063_L001_taxonomic	001-0045-2A_CP05063_L001_taxonomic	001-0045-3A_CP05063_L001_taxonomic	001-0046-1A_CP05063_L001_taxonomic	001-0046-2A_CP05063_L001_taxonomic	001-0046-3A_CP05063_L001_taxonomic	001-0047-1A_CP05063_L001_taxonomic	001-0047-2A_CP05063_L001_taxonomic	001-0048-1A_CP05063_L001_taxonomic	001-0048-2A_CP05063_L001_taxonomic	001-0049-1A_CP05063_L001_taxonomic	001-0049-2A_CP05063_L001_taxonomic	001-0050-1A_CP05063_L001_taxonomic	001-0050-3A_CP05063_L001_taxonomic	kingdom	phylum	class	order	family	genus	species	strain
Faecalibacterium_prausnitzii	17.19871	20.7229	0.0	10.28202	4.29856	0.03187	8.52961	13.05774	4.07783	4.90945	12.35556	5.66611	3.68641	0.27243	0.91204	1.34464	4.26288	2.51458	2.05844	12.65361	4.90972	2.6149	0.83165	2.95562	3.50834	5.48605	3.94962	16.88353	6.47607	18.02323	1.78259	5.10563	5.39313	17.89407	6.30523	3.97739	0.79098	8.40635	13.03301	9.54234	9.79991	13.81944	14.73111	21.52885	23.98253	22.27875	2.0897	3.73911	4.60039	3.50322	9.54617	20.99591	0.4986	0.20101	8.6714	11.99384	3.28287	10.61388	12.76974	17.92392	8.36016	11.37582	20.19221	3.65902	10.59618	6.73941	3.58592	11.89537	11.22805	0.68379	1.3496	3.76804	4.65774	4.88401	2.55564	9.95991	12.51137	2.59808	1.88428	11.25821	1.65021	22.18734	8.64386	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Faecalibacterium	Faecalibacterium_prausnitzii	
Eubacterium_rectale	14.60589	6.94565	13.37672	2.7662	3.8795	1.13231	4.27596	5.86038	4.54544	3.26385	1.24759	10.08239	6.16996	0.01953	0.49409	5.79896	7.16052	5.12598	1.03945	6.29749	1.55908	0.0	0.0	0.0	1.84325	13.35729	3.12387	0.06583	0.48251	0.21368	1.49836	1.80955	3.12653	1.97399	3.55256	7.91388	1.23018	4.2883	4.562	5.4968	3.03783	2.36384	7.45942	9.10305	2.9635	4.22001	6.16673	3.4016	4.7695	18.3788	15.34601	7.19273	0.80588	0.03993	0.37148	4.06547	18.49434	4.30026	13.83293	12.04289	9.61834	10.83902	6.30974	2.05338	8.84903	1.21275	7.29423	4.07641	4.30517	0.47969	1.86572	2.46306	19.9164	11.51415	5.4284	4.58859	4.49512	0.56154	1.68689	1.02567	0.95236	8.53502	9.56939	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_unclassified	Eubacterium_rectale	
Bifidobacterium_pseudocatenulatum	8.51373	8.16407	0.0	8.34117	0.0	19.23721	0.64419	0.12126	0.0	0.71109	1.47488	1.3399	10.57217	25.83432	13.51747	2.79444	2.12091	2.26332	0.0357	0.00534	0.00977	0.0	0.0	0.0	2.94381	2.08952	2.23347	0.0	0.0	0.0	5.51953	2.32254	1.64453	6.59833	1.8658	3.73694	0.0	1.08905	0.53082	1.88938	5.59371	0.51648	2.14799	0.58707	0.19445	0.60746	5.34493	6.01517	8.03688	0.0	0.0	0.0	14.92274	19.39947	1.85498	1.76969	3.61356	0.94182	1.90684	2.79989	0.62628	0.36112	0.29824	0.00835	0.03823	0.00481	3.07238	7.64917	2.75309	0.10886	0.12406	0.24587	0.0	0.0	0.0	0.0	0.0	3.98632	2.96129	1.68203	2.18622	1.17408	0.01964	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	Bifidobacterium_pseudocatenulatum	
Phocaeicola_dorei	5.76423	2.1157	7.84814	1.48333	0.0	0.18871	0.78061	0.0	0.0	3.02184	1.58168	0.0	0.0	0.0	0.0	2.41318	1.16691	0.09651	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.69039	3.97226	0.30043	0.0	0.02091	0.01689	0.0	1.81732	2.69408	2.11463	1.16096	0.23911	0.09064	1.09286	0.63213	0.06914	0.3425	1.36991	0.28457	0.52949	0.52754	0.59172	0.03634	0.2403	0.0	0.0	0.0	1.89398	1.15008	0.5235	0.24005	0.01687	0.92023	2.83879	1.06676	1.1765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23625	0.05631	1.05896	0.23562	1.65819	0.29149	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola_dorei	
Fusicatenibacter_saccharivorans	5.44456	6.93951	4.11941	5.79913	1.22193	0.00339	0.7578	2.11602	1.14384	8.85851	0.92443	5.94304	5.48114	4.85142	6.28905	1.38868	1.40628	2.53385	0.75874	2.11131	0.70975	0.0	0.0	0.0	1.75176	3.23893	1.58228	0.65576	3.5723	2.11745	0.0	0.62021	0.59263	3.02884	4.4416	8.89574	4.42738	1.50284	1.41052	1.87528	5.22764	3.11247	4.73029	4.22902	7.48157	7.56595	4.95244	2.78568	3.6032	5.62469	4.13056	6.4914	0.49163	0.0	0.05209	0.42278	1.6196	0.35694	0.40582	0.86453	6.49211	3.35366	4.13965	3.92464	8.61342	2.75848	10.7255	8.74254	8.47384	2.73526	1.95026	1.8744	4.59608	5.36442	4.67478	4.93964	6.93694	9.77927	7.97942	8.38918	6.78762	2.92389	2.98624	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Fusicatenibacter	Fusicatenibacter_saccharivorans	
Roseburia_faecis	4.9779	0.84058	0.0048	0.68084	1.34553	0.00642	1.94595	0.0869	0.0	0.0	0.0164	0.21185	0.31612	0.0	0.10184	0.0	0.0	0.0	0.0116	2.82727	0.49113	0.0	0.0	0.0	0.0	0.0	0.0	9.56875	1.95374	2.11221	0.20133	0.77376	2.42008	0.0	0.0	0.0	0.00529	0.65644	1.86527	0.2345	0.0519	2.06814	1.27876	0.0	0.89691	1.98795	0.0	0.0	0.0	0.03901	0.05319	0.0	0.0	0.0	0.13002	0.61381	0.55795	0.79188	3.17805	1.89431	0.0	0.0	0.0	0.0	0.0	0.29527	0.0	0.0	0.0	0.17914	0.39065	0.20491	0.0	0.0	0.0	0.73959	0.47716	1.68138	0.0	0.30961	0.0	1.67647	0.10035	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Roseburia	Roseburia_faecis	
Blautia_massiliensis	4.09428	5.54043	4.07923	0.0	0.63017	5.046	2.29917	2.22985	3.34181	6.09716	0.0	16.67671	7.32287	19.25222	4.53938	6.4211	6.13222	6.97541	1.56641	1.87162	1.38437	0.0	0.0	0.0	0.37855	0.68068	0.46286	2.57424	2.96725	3.02152	2.74424	2.45168	0.79182	5.57579	3.64166	3.23602	4.95415	2.47562	2.25765	3.48584	0.67806	0.98618	1.45194	1.24204	2.43871	3.20931	10.95165	15.83066	12.95058	2.03306	1.63754	1.9636	7.16915	5.8954	0.10489	0.69154	2.69049	0.89805	0.58838	1.83274	0.3555	0.57381	0.65994	3.65476	5.00598	2.46082	3.32726	1.03088	0.89088	9.61549	7.2603	4.44564	8.41547	5.57073	4.43214	3.02066	3.02938	7.43838	23.19854	7.56373	14.0335	1.8193	1.57661	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_massiliensis	
Bacteroides_ovatus	3.16911	2.21058	2.30556	1.59605	0.02311	0.0	0.01706	0.22011	0.13146	0.0	0.10171	0.10254	0.04452	0.38275	0.0167	0.95913	0.15844	0.08584	0.24631	0.18405	0.22958	14.70067	5.00499	15.59877	0.0	0.0	0.0	0.04418	0.00255	0.01957	0.07346	0.46318	2.21005	0.6002	3.06559	0.35681	0.05373	0.84827	1.75089	0.71721	0.03076	0.06432	0.39082	0.82516	0.36456	0.104	0.34856	0.11922	0.01166	0.00492	0.02208	0.00532	0.06903	0.09527	0.0	0.0	0.0	0.0	0.0	0.0	0.10182	0.0675	0.03675	0.14852	0.08936	0.3068	0.40391	0.1856	0.2525	0.0	0.0	0.00583	0.03472	0.14263	0.04044	0.28146	0.05059	0.05966	0.39038	0.67704	1.29783	1.39624	0.13952	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides_ovatus	
Blautia_obeum	3.04257	3.02613	0.0	0.0	1.84431	1.02491	1.75119	1.07691	3.15874	0.0	0.0	3.85033	1.95277	0.24007	1.43883	1.58003	1.58812	1.22952	0.89198	0.97925	0.63492	0.0	0.0	0.0	0.43677	0.65005	0.23964	0.68035	1.06755	1.22548	0.52327	0.99802	0.48237	1.57299	0.68086	0.57584	6.33946	2.6127	1.689	1.87534	4.25803	3.19254	2.8414	0.90275	0.87817	1.67725	2.16492	2.39438	2.5294	5.54542	3.57818	4.16394	0.05879	0.21704	0.14101	0.03089	0.6852	0.21339	0.62114	1.16258	0.99665	0.78428	0.57466	0.07373	0.20058	0.1662	4.47656	2.57592	3.81526	4.31059	2.52298	6.17447	1.23083	0.73851	0.69322	0.50767	0.49723	2.21343	1.25576	1.19824	1.23238	6.49627	16.78676	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_obeum	
Blautia_wexlerae	2.21319	1.8921	2.44589	6.46754	15.25314	0.09066	20.26919	6.44567	4.60158	28.13774	24.37636	3.67862	4.97545	5.29745	2.65412	3.54023	4.21513	3.80022	5.03278	5.06604	7.33973	42.31241	54.93861	40.77072	6.14568	6.95953	4.82435	13.07478	16.3427	10.35082	12.48467	14.36555	6.15323	19.17501	18.11236	28.86615	1.40108	3.4758	2.97096	4.90256	1.28608	2.3898	2.66418	2.82643	3.18098	5.33214	9.20705	9.20157	15.23352	7.2365	6.3834	8.79158	3.67492	8.2047	0.25548	2.5015	7.94141	2.269	2.41167	5.3357	5.54478	4.51982	2.97742	5.32083	5.64191	3.63556	8.87216	2.79176	4.71832	12.98501	8.76225	5.68536	8.31483	14.00686	8.19411	5.2097	8.21836	6.38946	6.29154	4.42294	4.10655	3.62302	6.73904	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Blautia	Blautia_wexlerae	
