Species	Average_Abundance
Blautia_wexlerae	7.566265714285715
Faecalibacterium_prausnitzii	6.537085510204083
Blautia_massiliensis	4.992832857142858
Eubacterium_rectale	4.976451020408164
Bifidobacterium_longum	4.949997142857142
Ruminococcus_bromii	4.796571632653061
Bifidobacterium_pseudocatenulatum	3.458747755102041
Bifidobacterium_adolescentis	3.2607310204081634
Fusicatenibacter_saccharivorans	3.206069183673469
Collinsella_aerofaciens	2.3416538775510203
Blautia_obeum	2.201155306122449
Ruminococcus_torques	2.107334285714286
Dorea_longicatena	2.016024081632653
Anaerostipes_hadrus	1.9635573469387764
Candidatus_Cibionibacter_quicibialis	1.9513569387755105
Gemmiger_formicilis	1.7336469387755105
Lacrimispora_celerecrescens	1.2773175510204082
Blautia_faecis	1.2717148979591837
Anaerobutyricum_hallii	1.239441632653061
Collinsella_SGB14861	1.231905918367347
Bacteroides_uniformis	1.1639848979591838
Ruminococcus_sp_BSD2780120874_150323_B10	1.0503002040816325
Pseudoruminococcus_massiliensis	0.990423469387755
Phocaeicola_vulgatus	0.9024791836734692
Alistipes_onderdonkii	0.8921528571428573
Alistipes_putredinis	0.7741955102040815
Imtechella_halotolerans	0.7516730612244897
Coprococcus_eutactus	0.6987789795918368
Dialister_invisus	0.6598563265306122
Roseburia_faecis	0.6512614285714285
Phocaeicola_dorei	0.6314191836734693
Bifidobacterium_bifidum	0.6142632653061224
Streptococcus_salivarius	0.5983222448979594
Evtepia_gabavorous	0.5948202040816327
Streptococcus_thermophilus	0.5556300000000001
Anaerobutyricum_soehngenii	0.5134371428571428
Clostridiaceae_bacterium	0.446381836734694
Coprococcus_comes	0.4406710204081633
Adlercreutzia_equolifaciens	0.42192999999999997
Dorea_formicigenerans	0.4211118367346939
Bacteroides_caccae	0.41725040816326525
Alistipes_shahii	0.41506469387755096
Clostridiales_bacterium_KLE1615	0.41337734693877554
Akkermansia_muciniphila	0.41301897959183675
Barnesiella_intestinihominis	0.39318938775510215
Faecalicatena_fissicatena	0.38315142857142853
Coprococcus_catus	0.36872857142857146
Alistipes_SGB2313	0.36280693877551023
Agathobaculum_butyriciproducens	0.3599169387755102
GGB9713_SGB15249	0.3512130612244898
Ruminococcus_bicirculans	0.3479867346938775
Blautia_glucerasea	0.3472846938775511
Blautia_SGB4815	0.34280142857142853
Ruminococcus_SGB4421	0.3392967346938775
Eubacterium_ramulus	0.32019734693877555
Parabacteroides_merdae	0.3074285714285713
Allobacillus_sp_SKP2_8	0.2987422448979591
Bacteroides_fragilis	0.29237367346938775
Bacteroides_ovatus	0.2921602040816326
Sellimonas_intestinalis	0.2624165306122449
Ruminococcus_lactaris	0.26082714285714287
GGB51647_SGB4348	0.25353285714285717
Ruminococcus_gnavus	0.25330693877551014
Alistipes_finegoldii	0.2340216326530612
Roseburia_hominis	0.23199102040816327
Eubacterium_siraeum	0.21408163265306127
Alistipes_ihumii	0.21041061224489802
Holdemanella_porci	0.20694204081632653
Clostridiaceae_unclassified_SGB15090	0.19820387755102042
Akkermansia_sp_KLE1798	0.19575061224489795
Lachnospiraceae_bacterium	0.18822306122448976
Firmicutes_bacterium_AF16_15	0.187444693877551
Ruthenibacterium_lactatiformans	0.1810644897959184
Faecalibacterium_SGB15346	0.1758783673469388
Ruminococcus_callidus	0.17429346938775506
GGB9758_SGB15368	0.17242530612244902
Oscillibacter_sp_ER4	0.165175306122449
GGB3001_SGB3992	0.16209979591836735
Clostridiales_Family_XIII_bacterium_BX16	0.15535755102040816
Roseburia_inulinivorans	0.15520755102040817
GGB3277_SGB4327	0.15152265306122448
Bacteroides_intestinalis	0.14806326530612246
Eggerthella_lenta	0.14709163265306124
GGB79916_SGB4587	0.14424591836734693
GGB80011_SGB15265	0.14087408163265305
GGB3278_SGB4328	0.13718673469387754
Bacteroides_sp_Marseille_P3684	0.13478551020408164
GGB9760_SGB15373	0.13469551020408163
GGB3256_SGB4303	0.13402775510204082
Rikenellaceae_bacterium	0.13367469387755102
GGB3304_SGB4367	0.1323465306122449
GGB9184_SGB14123	0.13089897959183672
Blautia_luti	0.13014163265306122
GGB9345_SGB14311	0.12939673469387752
Prevotella_copri_clade_A	0.12682408163265305
Blautia_hansenii	0.12466530612244899
Vescimonas_coprocola	0.12409489795918364
Faecalibacillus_intestinalis	0.12317102040816326
Romboutsia_timonensis	0.12148795918367347
Parabacteroides_distasonis	0.12019183673469389
