Species	Average_Abundance
Blautia_wexlerae	10.23447
Faecalibacterium_prausnitzii	9.975947647058824
Eubacterium_rectale	5.362814411764706
Fusicatenibacter_saccharivorans	4.256101764705883
Ruminococcus_bromii	3.3579147058823535
Bifidobacterium_longum	3.169840294117647
Blautia_massiliensis	2.858083529411765
Coprococcus_eutactus	2.807805882352941
Candidatus_Cibionibacter_quicibialis	2.432884117647058
Anaerostipes_hadrus	2.237830588235294
Bifidobacterium_pseudocatenulatum	2.124682058823529
Akkermansia_muciniphila	2.1144317647058823
Bifidobacterium_adolescentis	1.950985882352941
Ruminococcus_torques	1.5955914705882353
Bacteroides_ovatus	1.5277547058823526
Blautia_faecis	1.4079076470588237
Bacteroides_uniformis	1.3768314705882352
Ruminococcus_bicirculans	1.2347676470588234
Dorea_longicatena	1.2246555882352943
Blautia_obeum	1.1730076470588233
Anaerobutyricum_hallii	1.1341420588235298
Gemmiger_formicilis	1.1086105882352941
Collinsella_SGB14861	1.0657279411764706
Collinsella_aerofaciens	0.8909729411764706
Lacrimispora_celerecrescens	0.8628126470588234
Ruminococcus_gnavus	0.8565685294117648
Phocaeicola_dorei	0.815264705882353
Dialister_invisus	0.7513673529411764
Prevotella_copri_clade_A	0.7179691176470588
Ruminococcus_callidus	0.7102914705882353
Streptococcus_salivarius	0.6960264705882354
Blautia_luti	0.6740550000000001
Roseburia_faecis	0.6276794117647059
Bacteroides_caccae	0.6242691176470588
Imtechella_halotolerans	0.60659
Ruminococcus_sp_BSD2780120874_150323_B10	0.6024555882352941
Agathobaculum_butyriciproducens	0.543149411764706
Eubacterium_siraeum	0.5428129411764706
Clostridiales_bacterium_KLE1615	0.5400238235294118
Ruminococcus_lactaris	0.5198520588235295
Sellimonas_intestinalis	0.5125270588235293
GGB80011_SGB15267	0.5124873529411764
Alistipes_putredinis	0.4850935294117646
Coprococcus_comes	0.4825955882352941
Bifidobacterium_bifidum	0.4813838235294117
Alistipes_onderdonkii	0.4811694117647059
Evtepia_gabavorous	0.42675382352941177
GGB3256_SGB4303	0.41286911764705875
Roseburia_hominis	0.41239117647058826
GGB9758_SGB15368	0.40018029411764705
Clostridiaceae_bacterium	0.399424705882353
Faecalibacterium_SGB15346	0.3691458823529411
Phocaeicola_vulgatus	0.3669173529411765
Eggerthella_lenta	0.29629264705882347
GGB3278_SGB4328	0.28208205882352944
Faecalicatena_fissicatena	0.2804561764705883
Bacteroides_fragilis	0.2702929411764707
GGB9469_SGB14862	0.26387294117647064
Coprococcus_catus	0.26295794117647064
Roseburia_intestinalis	0.2624835294117647
Dorea_formicigenerans	0.2549364705882353
Enterocloster_SGB14313	0.25261617647058826
Lachnospiraceae_bacterium	0.2525679411764706
Anaerobutyricum_soehngenii	0.24853911764705885
Allobacillus_sp_SKP2_8	0.23441235294117652
Adlercreutzia_equolifaciens	0.2160470588235294
GGB51647_SGB4348	0.21075323529411763
Phocaeicola_plebeius	0.20642558823529414
GGB9713_SGB15249	0.20518588235294116
Blautia_SGB4815	0.20382882352941173
Alistipes_finegoldii	0.2030967647058823
Roseburia_inulinivorans	0.20089999999999997
Bifidobacterium_catenulatum	0.19857029411764704
Firmicutes_bacterium_AF16_15	0.19379852941176476
GGB9480_SGB14874	0.18460823529411763
Coprococcus_SGB4669	0.18421
Eubacterium_ramulus	0.18113235294117647
Clostridium_sp_AF34_10BH	0.17850529411764704
Bacteroides_stercoris	0.17784676470588232
Faecalibacterium_SGB15315	0.17386176470588235
Lachnospiraceae_bacterium_Marseille_Q4251	0.16511794117647058
Clostridium_sp_AF36_4	0.1586629411764706
Catenibacterium_SGB4425	0.15565147058823534
Parabacteroides_distasonis	0.14883264705882354
Bacteroides_thetaiotaomicron	0.14828470588235299
Methanobrevibacter_smithii	0.14828470588235293
Ruthenibacterium_lactatiformans	0.14792117647058825
Prevotella_SGB1615	0.14749500000000001
GGB79916_SGB4587	0.1417920588235294
GGB79973_SGB14341	0.1395664705882353
Bacteroides_sp_Marseille_P3684	0.13824882352941176
GGB79890_SGB14770	0.1377979411764706
Romboutsia_timonensis	0.13584470588235292
GGB3277_SGB4327	0.13378647058823528
GGB80011_SGB15265	0.1337114705882353
Clostridiales_Family_XIII_bacterium_BX16	0.12925794117647058
Roseburia_sp_AF02_12	0.12792058823529406
Dysosmobacter_welbionis	0.12455911764705885
Ruminococcus_sp_AF46_10NS	0.12355647058823532
Bacteroides_faecis	0.1228535294117647
