Species	Average_Abundance
Blautia_wexlerae	8.659265060240962
Faecalibacterium_prausnitzii	7.945776024096388
Eubacterium_rectale	5.134720361445783
Bifidobacterium_longum	4.22077626506024
Ruminococcus_bromii	4.2072422891566275
Blautia_massiliensis	4.118357228915665
Fusicatenibacter_saccharivorans	3.636203012048192
Bifidobacterium_pseudocatenulatum	2.9122630120481925
Bifidobacterium_adolescentis	2.724208915662651
Candidatus_Cibionibacter_quicibialis	2.148609036144579
Anaerostipes_hadrus	2.0759102409638555
Ruminococcus_torques	1.8977046987951807
Blautia_obeum	1.7799863855421683
Collinsella_aerofaciens	1.7473990361445784
Dorea_longicatena	1.6918490361445788
Coprococcus_eutactus	1.5627177108433739
Gemmiger_formicilis	1.4776079518072283
Blautia_faecis	1.327504698795181
Bacteroides_uniformis	1.2511750602409635
Anaerobutyricum_hallii	1.1963068674698796
Collinsella_SGB14861	1.1638330120481926
Akkermansia_muciniphila	1.1099832530120484
Lacrimispora_celerecrescens	1.107520361445784
Ruminococcus_sp_BSD2780120874_150323_B10	0.8668457831325302
Bacteroides_ovatus	0.7983073493975904
Alistipes_onderdonkii	0.7237981927710843
Ruminococcus_bicirculans	0.7112463855421687
Phocaeicola_dorei	0.7067293975903614
Dialister_invisus	0.6973427710843373
Imtechella_halotolerans	0.6922414457831326
Phocaeicola_vulgatus	0.6830924096385541
Alistipes_putredinis	0.6557681927710842
Roseburia_faecis	0.6416013253012046
Streptococcus_salivarius	0.6383456626506026
Pseudoruminococcus_massiliensis	0.5924342168674699
Bifidobacterium_bifidum	0.5598307228915662
Evtepia_gabavorous	0.5259737349397591
Bacteroides_caccae	0.5020532530120482
Ruminococcus_gnavus	0.5004261445783131
Clostridiales_bacterium_KLE1615	0.46525662650602395
Coprococcus_comes	0.4578449397590361
Agathobaculum_butyriciproducens	0.4349760240963856
Clostridiaceae_bacterium	0.42714638554216866
Anaerobutyricum_soehngenii	0.4049246987951807
Ruminococcus_callidus	0.3938589156626506
Streptococcus_thermophilus	0.37541951807228924
Prevotella_copri_clade_A	0.36897987951807226
Ruminococcus_lactaris	0.36693373493975906
Sellimonas_intestinalis	0.3648714457831325
Dorea_formicigenerans	0.3530400000000001
Blautia_luti	0.352949518072289
Eubacterium_siraeum	0.3487426506024096
Faecalicatena_fissicatena	0.34108349397590365
Adlercreutzia_equolifaciens	0.33759240963855425
Coprococcus_catus	0.32540084337349406
Roseburia_hominis	0.3058898795180722
GGB9713_SGB15249	0.29139469879518076
Blautia_SGB4815	0.28587289156626494
Alistipes_shahii	0.2838649397590361
Bacteroides_fragilis	0.28332855421686753
Barnesiella_intestinihominis	0.2807950602409639
Allobacillus_sp_SKP2_8	0.27239024096385533
GGB9758_SGB15368	0.26572253012048197
Eubacterium_ramulus	0.26323096385542166
Faecalibacterium_SGB15346	0.25504819277108437
Blautia_glucerasea	0.24873265060240976
GGB3256_SGB4303	0.24825192771084337
GGB80011_SGB15267	0.240513734939759
GGB51647_SGB4348	0.23600867469879522
Alistipes_finegoldii	0.22135361445783133
Parabacteroides_merdae	0.22066963855421687
Lachnospiraceae_bacterium	0.21458120481927712
Alistipes_SGB2313	0.21418722891566266
Eggerthella_lenta	0.20821012048192772
Ruminococcus_SGB4421	0.20157578313253008
GGB3278_SGB4328	0.1965414457831325
Firmicutes_bacterium_AF16_15	0.190047469879518
Roseburia_inulinivorans	0.1739249397590361
Roseburia_intestinalis	0.17281469879518074
Ruthenibacterium_lactatiformans	0.1674877108433736
GGB9469_SGB14862	0.15010036144578312
Alistipes_ihumii	0.14533337349397596
Clostridiales_Family_XIII_bacterium_BX16	0.14466614457831328
GGB3277_SGB4327	0.14425722891566264
GGB79916_SGB4587	0.14324072289156628
GGB80011_SGB15265	0.13793999999999998
Bacteroides_sp_Marseille_P3684	0.1362042168674699
Oscillibacter_sp_ER4	0.13444168674698798
Clostridiaceae_unclassified_SGB15090	0.13256433734939757
Parabacteroides_distasonis	0.1319242168674699
Romboutsia_timonensis	0.1273690361445783
Bacteroides_thetaiotaomicron	0.12429939759036143
Holdemanella_porci	0.12217060240963855
Lachnospiraceae_bacterium_Marseille_Q4251	0.12075060240963857
Akkermansia_sp_KLE1798	0.12057963855421687
Dysosmobacter_welbionis	0.11643313253012048
GGB9480_SGB14874	0.11544373493975901
Vescimonas_coprocola	0.11325759036144578
Faecalibacterium_SGB15315	0.11298963855421684
Phascolarctobacterium_faecium	0.11259421686746984
