Entry	Entry Name	Protein names	Organism	EC number	UniRef90	Species	Enzyme
A0A174A2T8	A0A174A2T8_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia wexlerae	2.5.1.54	UniRef90_A0A174R9A8	Blautia_wexlerae	aroF_G_H
A0A174MMH8	A0A174MMH8_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia wexlerae	2.5.1.54	UniRef90_A0A173XZ59	Blautia_wexlerae	aroF_G_H
A0A564WWC1	A0A564WWC1_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia wexlerae	2.5.1.54	UniRef90_A0A174R9A8	Blautia_wexlerae	aroF_G_H
A0A6L8SYG3	A0A6L8SYG3_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia wexlerae	2.5.1.54	UniRef90_A0A174R9A8	Blautia_wexlerae	aroF_G_H
A0A564WTA3	A0A564WTA3_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia wexlerae	2.5.1.54	UniRef90_A0A173XZ59	Blautia_wexlerae	aroF_G_H
A0A173XZ59	A0A173XZ59_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia wexlerae	2.5.1.54	UniRef90_A0A173XZ59	Blautia_wexlerae	aroF_G_H
A0A174KGH1	A0A174KGH1_9FIRM	Phospho-2-dehydro-3-deoxyheptonate aldolase (EC 2.5.1.54)	Blautia wexlerae	2.5.1.54	UniRef90_A0A174R9A8	Blautia_wexlerae	aroF_G_H
A0A6L8T849	A0A6L8T849_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia wexlerae	4.2.3.4	UniRef90_A0A173WY15	Blautia_wexlerae	aroB
A0A6L8XNZ8	A0A6L8XNZ8_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia wexlerae	4.2.3.4	UniRef90_A0A173WY15	Blautia_wexlerae	aroB
A0A174NYG1	A0A174NYG1_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia wexlerae	4.2.3.4	UniRef90_A0A173WY15	Blautia_wexlerae	aroB
A0A173WY15	A0A173WY15_9FIRM	3-dehydroquinate synthase (DHQS) (EC 4.2.3.4)	Blautia wexlerae	4.2.3.4	UniRef90_A0A173WY15	Blautia_wexlerae	aroB
A0A564WX41	A0A564WX41_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia wexlerae	4.2.1.10	UniRef90_A0A174R912	Blautia_wexlerae	aroD
A0A6L8T0K1	A0A6L8T0K1_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia wexlerae	4.2.1.10	UniRef90_A0A174R912	Blautia_wexlerae	aroD
A0A174GRU8	A0A174GRU8_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia wexlerae	4.2.1.10	UniRef90_A0A174R912	Blautia_wexlerae	aroD
A0A6L8XXL3	A0A6L8XXL3_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia wexlerae	4.2.1.10	UniRef90_A0A174R912	Blautia_wexlerae	aroD
A0A174R912	A0A174R912_9FIRM	3-dehydroquinate dehydratase (3-dehydroquinase) (EC 4.2.1.10) (Type I DHQase) (Type I dehydroquinase) (DHQ1)	Blautia wexlerae	4.2.1.10	UniRef90_A0A174R912	Blautia_wexlerae	aroD
A0A174K3D1	A0A174K3D1_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia wexlerae	1.1.1.25	UniRef90_A0A174K3D1	Blautia_wexlerae	aroE
A0A6L8T0Y7	A0A6L8T0Y7_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia wexlerae	1.1.1.25	UniRef90_A0A174R530	Blautia_wexlerae	aroE
A0A174R530	A0A174R530_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia wexlerae	1.1.1.25	UniRef90_A0A174R530	Blautia_wexlerae	aroE
A0A564WW51	A0A564WW51_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia wexlerae	1.1.1.25	UniRef90_A0A174B1L5	Blautia_wexlerae	aroE
A0A6L8XWR9	A0A6L8XWR9_9FIRM	Shikimate dehydrogenase (NADP(+)) (SDH) (EC 1.1.1.25)	Blautia wexlerae	1.1.1.25	UniRef90_A0A174R530	Blautia_wexlerae	aroE
