Entry	Entry Name	Protein names	Organism	EC number	UniRef90	Species
A0AA45V733	A0AA45V733_BIFLN	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A6N2RJ15	A0A6N2RJ15_BIFLN	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A0A6VKK6	A0A0A6VKK6_BIFLL	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. longum	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
B3DTQ4	B3DTQ4_BIFLD	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum (strain DJO10A)	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A0M5KW74	A0A0M5KW74_BIFLI	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. infantis	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A4S5B552	A0A4S5B552_BIFLI	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. infantis	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A7D4XWN4	A0A7D4XWN4_BIFLI	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum subsp. infantis	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
Q8G7E7	Q8G7E7_BIFLO	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum (strain NCC 2705)	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A0A1GRG2	A0A0A1GRG2_BIFLN	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
A0A2N0TL34	A0A2N0TL34_BIFLN	3-deoxy-7-phosphoheptulonate synthase (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Bifidobacterium longum	2.5.1.54	UniRef90_A0A564VED0	Bifidobacterium_longum
